id	parliament	year	candidate_name	edate	birth_year	country_birth	occupation	riding_id	riding	province	votes	percent_votes	party_raw	party_minor_group	party_major_group	gov_party_raw	gov_minor_group	gov_major_group	num_candidates	type_elxn	elected	incumbent	gender	lgbtq2_out	indigenousorigins	lawyer	censuscategory	acclaimed	switcher	multiple_candidacy
28491	14	1921	"SMITH, William"	"1921-12-06"			"farmer"		"ONTARIO SOUTH"	"Ontario"	4923	37.502857	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	1	0		0	0	8	0	0	0
30933	14	1921	"WHITE, Robert John"	"1921-12-06"			"farmer"		"LAMBTON WEST"	"Ontario"	4958	32.458263	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	8	0	0	0
29918	14	1921	"TRUAX, R.E."	"1921-12-06"			"sawmill owner and operator"		"BRUCE SOUTH"	"Ontario"	3849	35.497555	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	1	0		0	0	1	0	0	0
28282	14	1921	"SIROIS, J.-Ernest"	"1921-12-06"			"land surveyor"		"GASP�����"	"Quebec"	2267	18.899542	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	0	0		0	0	2	0	0	0
26541	14	1921	"REED, William Samuel"	"1921-12-06"	1864		"farmer"		"FRONTENAC"	"Ontario"	4780	51.19417	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	0	0		0	0	8	0	0	0
2146	14	1921	"BOULAY, Herm�����n�����gilde"	"1921-12-06"			"farmer, trader"		"MATANE"	"Quebec"	2252	21.743748	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	0	0		0	0	8	0	0	0
7955	14	1921	"GIRARD, Joseph"	"1921-12-06"			"farmer"		"CHICOUTIMI--SAGUENAY"	"Quebec"	4728	17.427202	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	8	0	0	0
6532	14	1921	"FAFARD, J. Fernand"	"1921-12-06"	1882		"land surveyor"		"L'ISLET"	"Quebec"	3720	63.568012	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	0	2	0	0	0
23418	14	1921	"MCNEIL, James A."	"1921-12-06"			"trader"		"PRINCE"	"Prince Edward Island"	4671	35.13615	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	6	0	0	0
3387	14	1921	"CARTER, Samuel"	"1921-12-06"			"manufacturer"		"WELLINGTON SOUTH"	"Ontario"	4662	27.509295	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	9	0	0	0
